market_name,mic,operating_mic,website
DEUTSCHE BANK AG - LONDON - SYSTEMATIC INTERNALISER,DBLN,DBAG,WWW.DB.COM
DEUTSCHE BANK AG - LONDON,DBIX,DBIX,WWW.DB.COM
NON-PROFIT PARTNERSHIP FOR THE DEVELOPMENT OF FINANCIAL MARKET RTS,RUSX,RUSX,WWW.NPRTS.RU
UNICREDIT BANK AG - LONDON BRANCH - UK SYSTEMATIC INTERNALISER,UNGB,UNGB,WWW.HYPOVEREINSBANK.DE
LIQUIDITY CUBE PTY LTD,XLQC,XLQC,WWW.LIQUIDITYCUBE.COM
CENTRAL COUNTERPARTY CLEARING CENTER MFB - JOINT-STOCK COMPANY,XMOS,XMOS,HTTPS://MSE.RU
YOSHI MARKETS LIMITED,ABXX,ABXX,WWW.YOSHIMARKETS.IO
CHINAFICC,CFIC,CFIC,HTTPS://CHINAFICC.GLOBAL
HSBC CONTINENTAL EUROPE - SYSTEMATIC INTERNALISER,HBFR,HBFR,WWW.HSBC.FR
KALSHIEX LLC,KLSH,KLSH,WWW.KALSHI.COM
MITSUBISHI DIAMOND CROSSING,MUDX,MUDX,WWW.MUMSS.COM
MARKETAXESS POST-TRADE LIMITED - APA,TRAX,TRAX,WWW.MARKETAXESS.COM
MARKETAXESS POST-TRADE B.V. - APA,TRNL,TRNL,WWW.MARKETAXESS.COM
STOCK EXCHANGE SAINT PETERSBURG,XPET,XPET,WWW.SPBEX.RU
LEVEL ATS,LEVL,LEVL,WWW.LEVELATS.COM
LEVEL ATS - VWAP CROSS,EBXV,LEVL,WWW.LEVELATS.COM
FINANCIAL AND RISK TRANSACTIONS SERVICES IRELAND LIMITED - FXALL RFS MTF,FXRS,RMTF,WWW.REFINITIV.COM
REFINITIV SEF REQUEST FOR STREAM,FXPS,THRE,WWW.REFINITIV.COM
BARBADOS STOCK EXCHANGE - INTERNATIONAL SECURITIES MARKET,XBIS,XBAB,WWW.BSE.COM.BB
PURESTREAM,STRM,STRM,WWW.PURESTREAM.TECH
ABN AMRO CLEARING BANK - SYSTEMATIC INTERNALISER,ABNC,ABNC,WWW.ABNAMROCLEARING.COM
BNPP CORTEX ATS,BNPC,BNPC,HTTPS://USA.BNPPARIBAS/EN/
PIRAEUS BANK - SYSTEMATIC INTERNALISER,PBGR,PBGR,WWW.PIRAEUSBANK.GR
SCOTIABANK (IRELAND) DESIGNATED ACTIVITY COMPANY - SYSTEMATIC INTERNALISER,SIDX,SIDX,WWW.SCOTIABANK.COM
SIEGE FX LIMITED,SIFX,SIFX,WWW.SIEGEFX.COM
TRADITION ESPANA OTF,TEUR,TEUR,WWW.TRADITION.COM
TP ICAP EU - MTF - EQUITY AND ETF,TPEE,TPIC,HTTPS://REGULATORY.TPICAP.COM/TPICAP/EU/TPICAPEUMTF
ARRACO IRELAND LTD,AILT,AILT,WWW.ARRACO.COM
ARRACO GLOBAL MARKETS LTD,ARAX,ARAX,WWW.ARRACO.COM
ONECHRONOS,CGXS,CGXS,WWW.ONECHRONOS.COM
EQUOS SPOT,EQOC,EQOS,HTTPS://EQUOS.IO/
EQUOS DERIVATIVES,EQOD,EQOS,HTTPS://EQUOS.IO/
AQUIS EXCHANGE EUROPE NON DISPLAY ORDER BOOK (NDOB),AQED,AQEU,WWW.AQUIS.EU
AQUIS EXCHANGE PLC AQUIS - EIX INFRASTRUCTURE BOND MARKET,EIXE,AQXE,WWW.AQUIS.EU
HPC ENERGY TRADING,HPCS,HPCX,WWW.OTCEXGROUP.COM
MIDCHAINS,MIDC,MIDC,WWW.MIDCHAINS.COM
RABOBANK INTERNATIONAL UK - SYSTEMATIC INTERNALISER,RABL,RABL,WWW.RABOBANK.COM
RMB MORGAN STANLEY,RMMS,RMMS,WWW.RMB.CO.ZA/SOLUTION/EQUITY-SALES-TRADING-AND-RESEARCH
RMB MORGAN STANLEY - INVENTORY MANAGER,RMMX,RMMS,WWW.RMB.CO.ZA/SOLUTION/EQUITY-SALES-TRADING-AND-RESEARCH
NASDAQ STOCKHOLM AB - COMMODITIES,NOCO,XSTO,WWW.NASDAQOMXNORDIC.COM
BME MTF EQUITY (IIC AND ECR SEGMENTS),MABX,BMEX,WWW.BMEGROWTH.ES
CECABANK - SYSTEMATIC INTERNALISER,CECA,CECA,WWW.CECABANK.ES
DEUTSCHE BANK - DIRECT CAPITAL ACCESS,DBDC,DBIX,HTTPS://AUTOBAHN.DB.COM/MICROSITE/HTML/EQUITY.HTML
DEUTSCHE BANK - SUPERX EU,DBSE,DBIX,HTTPS://AUTOBAHN.DB.COM/MICROSITE/HTML/EQUITY.HTML
DEUTSCHE BANK - CLOSE CROSS,DBCX,DBIX,HTTPS://AUTOBAHN.DB.COM/MICROSITE/HTML/EQUITY.HTML
DEUTSCHE BANK - CENTRAL RISK BOOK,DBCR,DBIX,HTTPS://AUTOBAHN.DB.COM/MICROSITE/HTML/EQUITY.HTML
HPC ETRADING,HPCO,HPCX,WWW.OTCEXGROUP.COM
ICAP EU -  OTF - REGISTRATION,ICOR,ICOT,HTTPS://REGULATORY.TPICAP.COM/TPICAP/EU/ICAPEUOTF
JANE STREET NETHERLANDS B.V. - SYSTEMATIC INTERNALISER,JNSI,JNSI,WWW.JANESTREET.COM
TULLETT PREBON EU OTF - REGISTRATION,TPER,TPEU,HTTPS://REGULATORY.TPICAP.COM/TPICAP/EU/TPEUOTF
SIX DIGITAL EXCHANGE,XSDX,XSWX,WWW.SIX-GROUP.COM/EN/SITE/EXCHANGES.HTML
SIX SWISS EXCHANGE,XSWX,XSWX,WWW.SIX-GROUP.COM/EN/SITE/EXCHANGES.HTML
SIX SWISS EXCHANGE - DEAL POOL - BOOK BUILDING AND ANNOUNCEMENT PLATFORM,XDLP,XSWX,WWW.SIX-GROUP.COM/EN/SITE/EXCHANGES.HTML
SIX SWISS EXCHANGE - SIX SWISS EXCHANGE AT MIDPOINT,XSWM,XSWX,WWW.SIX-GROUP.COM/EN/SITE/EXCHANGES.HTML
SIX SWISS EXCHANGE - SLS,XSLS,XSWX,WWW.SIX-GROUP.COM/EN/SITE/EXCHANGES.HTML
SIX SWISS EXCHANGE - EBBO BOOK,XSEB,XSWX,WWW.SIX-GROUP.COM/EN/SITE/EXCHANGES.HTML
SIX SWISS BILATERAL TRADING PLATFORM FOR STRUCTURED OTC PRODUCTS,XBTR,XSWX,WWW.SIX-GROUP.COM/EN/SITE/EXCHANGES.HTML
SIX SWISS EXCHANGE - BLUE CHIPS SEGMENT,XVTX,XSWX,WWW.SIX-GROUP.COM/EN/SITE/EXCHANGES.HTML
SIX SWISS EXCHANGE - ETF QOD,XQOD,XSWX,WWW.SIX-GROUP.COM/EN/SITE/EXCHANGES.HTML
SIX SWISS EXCHANGE - STRUCTURED PRODUCTS,XQMH,XSWX,WWW.SIX-STRUCTURED-PRODUCTS.COM
BNP PARIBAS ALTERNATIVE TRADING SYSTEM,BNPX,BNPX,WWW.BNPPARIBAS.JP/EN/
BANCA TRANSILVANIA S.A.,BTRL,BTRL,WWW.BANCATRANSILVANIA.RO
NATIXIS LONDON BRANCH,NTUK,NTUK,WWW.NATIXIS.COM
EQUOS,EQOS,EQOS,HTTPS://EQUOS.IO/
LUMINOR BANK AS,LMNR,LMNR,WWW.LUMINOR.EE
CBOE EUROPE DERIVATIVES,CEDX,CCRM,HTTPS://MARKETS.CBOE.COM/EUROPE/DERIVATIVES/
EQUILEND CANADA CORP.,EQCA,EQCA,WWW.EQUILEND.COM
EQUILEND LLC,EQUS,EQUS,WWW.EQUILEND.COM
EVOLUTION MARKETS,EVOL,EVOL,WWW.EVOMARKETS.COM
NASDAQ COMMODITIES - STEEL COMMODITY,STEE,NORX,WWW.NASDAQOMX.COM/COMMODITIES/
NASDAQ COMMODITIES - BULK COMMODITY,BULK,NORX,WWW.NASDAQOMX.COM/COMMODITIES/
RBC - PARIS BRANCH - SYSTEMATIC INTERNALISER,RBCC,RBCC,WWW.RBC.COM
BULGARIAN ENERGY TRADING PLATFORM,BEBG,BEBG,WWW.BETP.BG
COMMERZBANK INTEREST RATE SWAPS - SYSTEMATIC INTERNALISER,CBKS,CBKA,WWW.COMMERZBANK.COM
XTX DIRECT,XTXD,XTXD,WWW.XTXMARKETS.COM
SSW MARKET MAKING - SYSTEMATIC INTERNALISER,SSWM,SSWM,WWW.SSW-MARKETMAKING.COM
EURONEXT EXPAND OSLO,XOAS,XOSL,WWW.OSLOBORS.NO
OSLO BORS,XOSL,XOSL,WWW.OSLOBORS.NO
"SG AMERICAS SECURITIES, LLC - SECOND VENUE",SGA2,SGAS,WWW.SGCIB.COM
TURKISH MERCANTILE EXCHANGE - ELECTRONIC WAREHOUSE RECEIPT MARKET,EWRM,TMEX,WWW.TURIB.COM.TR
EURONEXT GROWTH - OSLO,MERK,XOSL,WWW.OSLOBORS.NO
OSLO BORS - DERIVATIVES MARKET,XOBD,XOSL,WWW.OSLOBORS.NO
"BANCO DE SABADELL, S.A. -  SYSTEMATIC INTERNALISER",BSAB,BSAB,WWW.BANCSABADELL.COM
BNP PARIBAS SECURITIES SERVICES LONDON BRANCH - SYSTEMATIC INTERNALISER,BSPL,BSPL,WWW.SECURITIES.BNPPARIBAS.COM
BOSTON SECURITY TOKEN EXCHANGE LLC,BSTX,BSTX,WWW.BSTX.COM
NOMISMA (LIECHTENSTEIN) AG,XNOM,XNOM,HTTP://NIEDERMUELLER.LAW
BARCLAYS SINGLE DEALER PLATFORM,BBOK,BARX,WWW.INVESTMENTBANK.BARCLAYS.COM/MARKETS/EQUITIES-LIQUID-MARKETS.HTML
BAYERNLB - FX DERIVATIVES MARKET,BLFX,BLBB,WWW.BAYERNLB.DE
OLDENBURGISCHE LANDESBANK AG FX  HANDEL - SYSTEMATIC INTERNALISER,OLBB,OLBB,WWW.OLB.DE
SIGMA X EUROPE NON-DISPLAYED BOOK,SGMU,SGMU,HTTP://GSET.GS.COM/SIGMAXMTF
AFRINEX LIMITED,AFEX,AFEX,WWW.AFRINEXEXCHANGE.COM
BNP PARIBAS SA LONDON BRANCH - SYSTEMATIC INTERNALISER,BNPL,BNPL,WWW.CIB.BNPPARIBAS.COM
CREDIT AGRICOLE BANK POLSKA S.A. - SYSTEMATIC INTERNALISER,CAPL,CAPL,WWW.CREDIT-AGRICOLE.PL
CARTAX,CCMX,CCMX,HTTPS://CARTA.COM/X
CITI-ONE,ONEC,CGMI,WWW.CITI.COM/MSS/SOLUTIONS/EQUITIES/E-TRADING/LIQUIDITY/
MORGAN STANLEY BANK INTERNATIONAL LIMITED - SYSTEMATIC INTERNALISER,MBSI,MSBI,WWW.MORGANSTANLEY.COM
MORGAN STANLEY BANK INTERNATIONAL LIMITED,MSBI,MSBI,WWW.MORGANSTANLEY.COM
SIGMA X EUROPE AUCTION BOOK,SGMV,SGMU,HTTP://GSET.GS.COM/SIGMAXMTF
SIGMA X EUROPE NEGOTIATED TRADE,SGMW,SGMU,HTTP://GSET.GS.COM/SIGMAXMTF
TRADING 212 LIMITED - SYSTEMATIC INTERNALISER,T212,T212,WWW.TRADING212.COM
TURKISH MERCANTILE EXCHANGE,TMEX,TMEX,WWW.TURIB.COM.TR
CBOE GLOBAL MARKETS INC.,XCBO,XCBO,HTTP://MARKETS.CBOE.COM/
CBOE OPTIONS EXCHANGE,CONE,XCBO,HTTP://MARKETS.CBOE.COM/
CBOE C2 OPTIONS EXCHANGE,CTWO,XCBO,HTTP://MARKETS.CBOE.COM/
CBOE C2 OPTIONS EXCHANGE,C2OX,XCBO,HTTP://MARKETS.CBOE.COM/
PEPINS - MTF - QUARTER,PEPQ,PEPW,WWW.PEPINS.COM
PEPINS - MTF - YEAR,PEPY,PEPW,WWW.PEPINS.COM
PEPINS - MTF - HALF-YEAR,PEPH,PEPW,WWW.PEPINS.COM
PEPINS - MTF - MONTH,PEPM,PEPW,WWW.PEPINS.COM
PNGX MARKETS LIMITED,XPOM,XPOM,WWW.PNGX.COM.PG
BME GROWTH MARKET,GROW,BMEX,WWW.BMEGROWTH.ES
CLEAR STREET,CLST,CLST,HTTPS://CLEARSTREET.IO/
LIECHTENSTEINISCHE LANDESBANK (OSTERREICH) AG - SYSTEMATIC INTERNALISER,LLAT,LLAT,WWW.LLB.AT
MIAX PEARL EQUITIES EXCHANGE DARK,EPRD,MIHI,WWW.MIAXEQUITIES.COM
GS PRINCIPAL LIQUIDITY ASIA,GSPL,GSAL,WWW.GSET.GS.COM
IMMH - INTESA SANPAOLO - SYSTEMATIC INTERNALISER,IMMH,IMMH,WWW.INTESASANPAOLO.COM
AQUIS STOCK EXCHANGE,AQSE,AQSE,WWW.AQUIS.EU
EURONEXT MARKETS SINGAPORE PTE. LTD.,ENMS,ENMS,WWW.EURONEXTFX.COM/EURONEXT-SINGAPORE
EURONEXT FX,FAST,FAST,WWW.EURONEXTFX.COM
LOUIS CAPITAL MARKETS EU,TLCM,ICOT,HTTPS://REGULATORY.TPICAP.COM/
LOUIS CAPITAL MARKETS UK,ILCM,IOTF,HTTPS://REGULATORY.TPICAP.COM/
LEDGEREDGE,LELE,LELE,WWW.LEDGEREDGE.COM
METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED,MCXX,MCXX,WWW.MSEI.IN
MEMX LLC DARK,MEMD,MEMX,HTTPS://MEMX.COM/
NEX SEF - RFQ - FX PRODUCTS FOR ASSET MANAGERS,EBSO,NEXS,WWW.NEXSEF.COM
PEPINS - MTF,PEPW,PEPW,WWW.PEPINS.COM
WELLS FARGO BANK NA - LONDON BRANCH - SYSTEMATIC INTERNALISER,WFLB,WFLB,WWW.EMEA.WF.COM
"WELLS FARGO SECURITIES EUROPE, S.A.",WFSE,WFSE,WWW.WELLSFARGO.COM
WALL STREET ACCESS NYC - VNDM,VNDM,WSAG,WWW.WSACCESS.COM
WALL STREET ACCESS NYC,WABR,WSAG,WWW.WSACCESS.COM
SINGAPORE CATALIST MARKET,XSCA,XSES,WWW.SGX.COM
ICE TMC,TMCC,IFUS,WWW.THEICE.COM
EURONEXT DUBLIN - TRADED BONDS,EDBT,XDUB,WWW.EURONEXT.COM
GLOBAL EXCHANGE MARKET - TRADED BONDS,EDGL,XDUB,WWW.EURONEXT.COM
EUROTLX,ETLX,XMIL,WWW.EUROTLX.COM
BANK OF AMERICA SECURITIES EQUITY SWAP - SYNTHETIC PRICE SOURCE,BASP,BAIP,WWW.BOFAML.COM
BROKERTEC AMERICAS LLC - RFQ PLATFORM,BTEQ,BTEC,WWW.CMEGROUP.COM
EQUILEND LIMITED - SWAPS,EQSE,EQIE,WWW.EQUILEND.COM
ICE BONDPOINT,VABD,IFUS,WWW.THEICE.COM
ICE CREDIT TRADE,IMCC,IFUS,WWW.THEICE.COM
NATIONAL BANK FINANCIAL INC. - SYSTEMATIC INTERNALISER,NBFL,NBFL,HTTPS://NBFM.CA/EN
AQSE TRADING (EQUITY),NEXT,NEXX,WWW.AQUIS.EU
AQSE TRADING (NON-EQUITY),NEXN,NEXX,WWW.AQUIS.EU
AQSE GROWTH MARKET (NON-EQUITY),NEXF,NEXX,WWW.AQUIS.EU
AQUIS STOCK EXCHANGE,NEXX,NEXX,WWW.AQUIS.EU
AQSE GROWTH MARKET (EQUITY),NEXG,NEXX,WWW.AQUIS.EU
AQSE MAIN MARKET (EQUITY),NEXL,NEXX,WWW.AQUIS.EU
AQSE MAIN MARKET (NON-EQUITY),NEXD,NEXX,WWW.AQUIS.EU
NORDIC DERIVATIVES EXCHANGE,XNDX,XNGM,WWW.NDX.SE
NORDIC MTF REPORTING,XNMR,XNGM,WWW.NORDICMTF.SE
MAX MARKETS LIMITED,MAXD,MAXD,WWW.MAXMARKETS.NET
BLOOMBERG TRADEBOOK SINGAPORE PTE LTD,BTBS,BTBS,WWW.BLOOMBERG.COM/PROFESSIONAL/SOLUTION/TRADEBOOK
ALEXANDRIA PANKKIIRILIIKE OYJ - SYSTEMATIC INTERNALISER,AXSI,AXSI,WWW.ALEXANDRIA.FI
SKB BANKA D.D. LJUBLJANA,SKBB,SKBB,WWW.SKB.SI
DSK BANK EAD,BDSK,BDSK,HTTPS://DSKBANK.BG/
DEX LIMITED,DEXE,DEXE,WWW.DEX.AE
OTP BANK ROMANIA SA,OTPR,OTPR,WWW.OTPBANK.RO
JAPANNEXT - U - MARKET,SBIU,SBIJ,WWW.JAPANNEXT.CO.JP
JAPANNEXT - X - MARKET,XSBI,SBIJ,WWW.JAPANNEXT.CO.JP
JAPANNEXT - VWAP CROSSING,SBIV,SBIJ,WWW.JAPANNEXT.CO.JP
JAPANNEXT - J - MARKET,SBIJ,SBIJ,WWW.JAPANNEXT.CO.JP
OTP BANKA D.D.,XOTP,XOTP,WWW.OTPBANKA.HR
EQUILEND EUROPE LIMITED - SWAPS,EQSL,EQLD,WWW.EQUILEND.COM
JSE REPO MARKET,JSER,XJSE,WWW.JSE.CO.ZA
MOZAMBIQUE STOCK  EXCHANGE,XBVM,XBVM,WWW.BOLSADEVALORES.CO.MZ
HENEX ELECTRICITY SPOT MARKET,HESP,HEMO,WWW.ENEXGROUP.GR
HENEX FINANCIAL ENERGY MARKET - DERIVATIVES MARKET,HEDE,HEMO,WWW.ENEXGROUP.GR
MACQUARIE BANK EUROPE DESIGNATED ACTIVITY COMPANY - SYSTEMATIC INTERNALISER,MAQE,MAQE,WWW.MACQUARIE.COM
MEMX LLC EQUITIES,MEMX,MEMX,HTTPS://MEMX.COM/
PARKER POLAND SP. ZO.O.,PARK,PARK,WWW.PARKER.COM.PL
PIPER SANDLER AND CO. - ATS,PJCX,PIPR,WWW.PIPERSANDLER.COM
PIPER SANDLER AND CO.,PIPR,PIPR,WWW.PIPERSANDLER.COM
SKYTRA,SKYX,SKYX,WWW.SKYTRA.COM
CIMD S.V. S.A. - APPROVED PUBLICATION ARRANGEMENT,CIMA,CIMD,WWW.GRUPOCIMD.COM/CIMD-SV/
GLOMAX EXCHANGE LTD,GLOM,GLOM,WWW.GLOMAX.COM
TRAIANA INC,TRAI,TRAI,WWW.TRAIANA.COM
THE ZAGREB STOCK EXCHANGE MTF,XZAM,XZAG,WWW.ZSE.HR
CBOE FX NDFS,CBOE,CBOE,HTTPS://FX.CBOE.COM/
CITI MATCH DE CONTRA LIQUIDITY,CGEE,CGMD,WWW.CITIGROUP.DE
CITIGROUP GLOBAL MARKETS  EUROPE AG - EMEA LIQUIDITY HUB,CGEC,CGMD,WWW.CITIGROUP.DE
CITI MATCH - GB,CGME,CGML,WWW.CITIGROUP.COM
CITIGROUP GLOBAL MARKETS  LIMITED - EMEA LIQUIDITY HUB,CGMC,CGML,WWW.CITIGROUP.COM/CITI
"COMHAR CAPITAL MARKETS, LLC",COHR,COHR,
EBS MTF - RFQ - FOR CORPORATES TRADING FX PRODUCTS,NEXY,EBSN,WWW.EBS.COM
"STIFEL, NICOLAUS AND COMPANY, INCORPORATED",STFU,STFU,
"STIFEL, NICOLAUS AND COMPANY, INCORPORATED",STFX,STFX,
TURQUOISE SWAPMATCH,TRQS,TRQX,WWW.TRADETURQUOISE.COM
SIX CORPORATE BONDS AG,XICB,XICB,WWW.SIX-SWISS-EXCHANGE.COM
LCH LTD,XLCH,XLCH,WWW.LCH.COM
LCH LTD - CROSS NETTING,CLCH,XLCH,WWW.LCH.COM
LCH LTD - BUY IN,BUYN,XLCH,WWW.LCH.COM
"AUTOMATED TRADING DESK FINANCIAL SERVICES, LLC",ATDF,ATDF,WWW.ATDESK.COM
BALKAN GAS HUB EAD,BGHX,BGHX,WWW.BALKANGASHUB.BG
CITIGROUP AGENCY OPTION AND EQUITIES ROUTING ENGINE,CORE,CGMI,WWW.CITIGROUP.COM
CITI CROSS,CICX,CGMI,WWW.CITIGROUP.COM
"CESKA SPORITELNA, A.S. - SYSTEMATIC INTERNALISER",CSAS,CSAS,WWW.CSAS.CZ
"LONG-TERM STOCK EXCHANGE, INC.",LTSE,LTSE,WWW.LONGTERMSTOCKEXCHANGE.COM
MARKETAXESS SINGAPORE PTE LIMITED - LIVE MARKETS,MALM,MASG,WWW.MARKETAXESS.COM
EUROPEAN ENERGY EXCHANGE - REGULATED GAS MARKET,XPSF,XEEE,WWW.EEX.COM
EUROPEAN ENERGY EXCHANGE - OTF GAS MARKET,XPOT,XEEE,WWW.EEX.COM
FEX GLOBAL,XFEX,XFEX,WWW.FEX.COM.AU
CLSA AMERICAS - LIQUIDITY HUB,CALH,CALH,WWW.CLSA.COM
"OMIP - POLO PORTUGUES, S.G.M.R., S.A. / OMIP DERIVATIVES MARKET",OMIP,OMIP,WWW.OMIP.PT
EURONEXT - EURONEXT LISBON,XLIS,XLIS,WWW.EURONEXT.COM
CREDIT SUISSE LIGHT POOL,CSLP,CRED,WWW.CREDIT-SUISSE.COM
DANSKE BANK A/S - LONDON BRANCH - SYSTEMATIC INTERNALISER,DAUK,DAUK,WWW.DANSKEBANK.CO.UK
"BANCO SANTANDER, LONDON BRANCH - SYSTEMATIC INTERNALISER",BSLB,BSLB,WWW.SANTANDER.COM
CANTOR FITZGERALD IRELAND LIMITED,CFIL,CFIL,WWW.CANTORFITZGERALDIRELAND.COM
CITI MATCH GB CONTRA LIQUIDITY,CGMU,CGML,WWW.CITIGROUP.COM/CITI
CREDIT SUISSE CLOSEX,CSCL,CRED,WWW.CREDIT-SUISSE.COM
CREDIT SUISSE VWAPX,CSVW,CRED,WWW.CREDIT-SUISSE.COM
RBC - ROYAL BANK OF CANADA,RBCM,RBCM,WWW.RBC.COM
REFINITIV US SEF LLC,THRE,THRE,WWW.REFINITIV.COM/EN/PRODUCTS/SEF-SWAP-EXECUTION-FACILITY
WEEDEN AND CO MARKETS,WEED,WEED,WWW.WEEDENCO.COM
WEEDEN ATS,XWEE,WEED,WWW.WEEDENCO.COM
BAKKT,BKKT,BKKT,WWW.BAKKT.COM
TP ICAP UK MTF - REGISTRATION,UKRE,ICPM,WWW.TPICAP.COM
TP ICAP UK MTF - ORDERBOOK,UKOR,ICPM,WWW.TPICAP.COM
ICAP UK OTF - ORDERBOOK,IUOB,IOTF,WWW.TPICAP.COM/TPICAP/REGULATORY-HUB
TP UK OTF - ORDERBOOK,TUOB,TPSO,WWW.TPICAP.COM/TPICAP/REGULATORY-HUB
"XP INVESTMENTS US, LLC",XPUS,XPUS,WWW.XPI.US
BANK OF AMERICA MERRILL LYNCH INTERNATIONAL BANK DESIGNATED ACTIVITY COMPANY - SYSTEMATIC INTERNALISER,BMLS,BMLI,WWW.BOFAML.COM/EMEA
BANK OF AMERICA MERRILL LYNCH INTERNATIONAL BANK DESIGNATED ACTIVITY COMPANY,BMLI,BMLI,WWW.BOFAML.COM/EMEA
BANK OF AMERICA MERRILL LYNCH INTERNATIONAL BANK DESIGNATED ACTIVITY COMPANY - SYSTEMATIC INTERNALISER,BMSI,BMLX,WWW.BOFAML.COM/EMEA
BANK OF AMERICA MERRILL LYNCH INTERNATIONAL BANK DESIGNATED ACTIVITY COMPANY,BMLX,BMLX,WWW.BOFAML.COM/EMEA
