_id,country,market_name,mic,operating_mic,website
642b0b6687b340e987cad260,DE,STIFEL EUROPE BANK AG  - SYSTEMATIC INTERNALISER,SEBA,SEBA,WWW.STIFEL.COM
642b0b6687b340e987cad296,IT,UBI BANCA - SYSTEMATIC INTERNALISER,UBIM,UBIM,WWW.UBIBANCA.IT
642b0b6787b340e987cad2db,GB,AQUIS EXCHANGE PLC - AMP - DARK ORDER BOOK,XUBS,XUBS,WWW.AQUIS.EU
642b0b6787b340e987cad31a,GB,UBS MTF LIMITED - PERIODIC AUCTION ORDER BOOK,XUMP,XUBS,WWW.UBS.COM/MTF
642b0b6787b340e987cad365,US,AMERICAN LEDGER ATS,AMLG,AMLG,WWW.AMERICANLEDGER.COM
642b0b6787b340e987cad3b5,FR,BRED BANQUE POPULAIRE - SYSTEMATIC INTERNALISER,BRED,BRED,WWW.BRED.FR
642b0b6787b340e987cad3f4,DE,DEUTSCHE BANK - MANUAL OTC,DBMO,DBAG,HTTPS://AUTOBAHN.DB.COM/MICROSITE/HTML/EQUITY.HTML
642b0b6787b340e987cad42d,DE,DEUTSCHE BANK AG - LONDON - SYSTEMATIC INTERNALISER,DBLN,DBAG,WWW.DB.COM
642b0b6787b340e987cad462,GB,DEUTSCHE BANK AG - LONDON,DBIX,DBIX,WWW.DB.COM
642b0b6787b340e987cad4a5,RU,NON-PROFIT PARTNERSHIP FOR THE DEVELOPMENT OF FINANCIAL MARKET RTS,RUSX,RUSX,WWW.NPRTS.RU
642b0b6787b340e987cad4e8,GB,UNICREDIT BANK AG - LONDON BRANCH - UK SYSTEMATIC INTERNALISER,UNGB,UNGB,WWW.HYPOVEREINSBANK.DE
642b0b6787b340e987cad58a,AU,LIQUIDITY CUBE PTY LTD,XLQC,XLQC,WWW.LIQUIDITYCUBE.COM
642b0b6787b340e987cad5bf,RU,CENTRAL COUNTERPARTY CLEARING CENTER MFB - JOINT-STOCK COMPANY,XMOS,XMOS,HTTPS://MSE.RU
642b0b6787b340e987cad5f4,AE,YOSHI MARKETS LIMITED,ABXX,ABXX,WWW.YOSHIMARKETS.IO
642b0b6787b340e987cad631,GB,CHINAFICC,CFIC,CFIC,HTTPS://CHINAFICC.GLOBAL
642b0b6787b340e987cad67d,FR,HSBC CONTINENTAL EUROPE - SYSTEMATIC INTERNALISER,HBFR,HBFR,WWW.HSBC.FR
642b0b6887b340e987cad6bc,US,KALSHIEX LLC,KLSH,KLSH,WWW.KALSHI.COM
642b0b6887b340e987cad6f4,JP,MITSUBISHI DIAMOND CROSSING,MUDX,MUDX,WWW.MUMSS.COM
642b0b6887b340e987cad74e,GB,MARKETAXESS POST-TRADE LIMITED - APA,TRAX,TRAX,WWW.MARKETAXESS.COM
642b0b6887b340e987cad796,NL,MARKETAXESS POST-TRADE B.V. - APA,TRNL,TRNL,WWW.MARKETAXESS.COM
642b0b6887b340e987cad7ca,RU,STOCK EXCHANGE SAINT PETERSBURG,XPET,XPET,WWW.SPBEX.RU
642b0b6887b340e987cad80e,US,LEVEL ATS,LEVL,LEVL,WWW.LEVELATS.COM
642b0b6887b340e987cad865,US,LEVEL ATS - VWAP CROSS,EBXV,LEVL,WWW.LEVELATS.COM
642b0b6887b340e987cad931,IE,FINANCIAL AND RISK TRANSACTIONS SERVICES IRELAND LIMITED - FXALL RFS MTF,FXRS,RMTF,WWW.REFINITIV.COM
642b0b6887b340e987cad96c,US,REFINITIV SEF REQUEST FOR STREAM,FXPS,THRE,WWW.REFINITIV.COM
642b0b6887b340e987cad9c0,BB,BARBADOS STOCK EXCHANGE - INTERNATIONAL SECURITIES MARKET,XBIS,XBAB,WWW.BSE.COM.BB
642b0b6887b340e987cad9f7,US,PURESTREAM,STRM,STRM,WWW.PURESTREAM.TECH
642b0b6987b340e987cada35,NL,ABN AMRO CLEARING BANK - SYSTEMATIC INTERNALISER,ABNC,ABNC,WWW.ABNAMROCLEARING.COM
642b0b6987b340e987cada86,US,BNPP CORTEX ATS,BNPC,BNPC,HTTPS://USA.BNPPARIBAS/EN/
642b0b6987b340e987cadacc,GR,PIRAEUS BANK - SYSTEMATIC INTERNALISER,PBGR,PBGR,WWW.PIRAEUSBANK.GR
642b0b6987b340e987cadb19,IE,SCOTIABANK (IRELAND) DESIGNATED ACTIVITY COMPANY - SYSTEMATIC INTERNALISER,SIDX,SIDX,WWW.SCOTIABANK.COM
642b0b6987b340e987cadb60,GB,SIEGE FX LIMITED,SIFX,SIFX,WWW.SIEGEFX.COM
642b0b6987b340e987cadb9c,ES,TRADITION ESPANA OTF,TEUR,TEUR,WWW.TRADITION.COM
642b0b6987b340e987cadbdd,FR,TP ICAP EU - MTF - EQUITY AND ETF,TPEE,TPIC,HTTPS://REGULATORY.TPICAP.COM/TPICAP/EU/TPICAPEUMTF
642b0b6987b340e987cadc11,IE,ARRACO IRELAND LTD,AILT,AILT,WWW.ARRACO.COM
642b0b6987b340e987cadc70,GB,ARRACO GLOBAL MARKETS LTD,ARAX,ARAX,WWW.ARRACO.COM
642b0b6987b340e987cadd3e,US,ONECHRONOS,CGXS,CGXS,WWW.ONECHRONOS.COM
642b0b6987b340e987cadd77,SG,EQUOS SPOT,EQOC,EQOS,HTTPS://EQUOS.IO/
642b0b6987b340e987caddbb,SG,EQUOS DERIVATIVES,EQOD,EQOS,HTTPS://EQUOS.IO/
642b0b6987b340e987caddff,FR,AQUIS EXCHANGE EUROPE NON DISPLAY ORDER BOOK (NDOB),AQED,AQEU,WWW.AQUIS.EU
642b0b6a87b340e987cade40,GB,AQUIS EXCHANGE PLC AQUIS - EIX INFRASTRUCTURE BOND MARKET,EIXE,AQXE,WWW.AQUIS.EU
642b0b6a87b340e987cade85,FR,HPC ENERGY TRADING,HPCS,HPCX,WWW.OTCEXGROUP.COM
642b0b6a87b340e987cadecc,AE,MIDCHAINS,MIDC,MIDC,WWW.MIDCHAINS.COM
642b0b6a87b340e987cadf26,GB,RABOBANK INTERNATIONAL UK - SYSTEMATIC INTERNALISER,RABL,RABL,WWW.RABOBANK.COM
642b0b6a87b340e987cadf75,ZA,RMB MORGAN STANLEY,RMMS,RMMS,WWW.RMB.CO.ZA/SOLUTION/EQUITY-SALES-TRADING-AND-RESEARCH
642b0b6a87b340e987cadfc2,ZA,RMB MORGAN STANLEY - INVENTORY MANAGER,RMMX,RMMS,WWW.RMB.CO.ZA/SOLUTION/EQUITY-SALES-TRADING-AND-RESEARCH
642b0b6a87b340e987cadffc,SE,NASDAQ STOCKHOLM AB - COMMODITIES,NOCO,XSTO,WWW.NASDAQOMXNORDIC.COM
642b0b6a87b340e987cae041,ES,BME MTF EQUITY (IIC AND ECR SEGMENTS),MABX,BMEX,WWW.BMEGROWTH.ES
642b0b6a87b340e987cae090,ES,CECABANK - SYSTEMATIC INTERNALISER,CECA,CECA,WWW.CECABANK.ES
642b0b6a87b340e987cae106,GB,DEUTSCHE BANK - DIRECT CAPITAL ACCESS,DBDC,DBIX,HTTPS://AUTOBAHN.DB.COM/MICROSITE/HTML/EQUITY.HTML
642b0b6a87b340e987cae13d,GB,DEUTSCHE BANK - SUPERX EU,DBSE,DBIX,HTTPS://AUTOBAHN.DB.COM/MICROSITE/HTML/EQUITY.HTML
642b0b6a87b340e987cae178,GB,DEUTSCHE BANK - CLOSE CROSS,DBCX,DBIX,HTTPS://AUTOBAHN.DB.COM/MICROSITE/HTML/EQUITY.HTML
642b0b6a87b340e987cae1be,GB,DEUTSCHE BANK - CENTRAL RISK BOOK,DBCR,DBIX,HTTPS://AUTOBAHN.DB.COM/MICROSITE/HTML/EQUITY.HTML
642b0b6b87b340e987cae210,FR,HPC ETRADING,HPCO,HPCX,WWW.OTCEXGROUP.COM
642b0b6b87b340e987cae25c,FR,ICAP EU -  OTF - REGISTRATION,ICOR,ICOT,HTTPS://REGULATORY.TPICAP.COM/TPICAP/EU/ICAPEUOTF
642b0b6b87b340e987cae2b1,NL,JANE STREET NETHERLANDS B.V. - SYSTEMATIC INTERNALISER,JNSI,JNSI,WWW.JANESTREET.COM
642b0b6b87b340e987cae308,FR,TULLETT PREBON EU OTF - REGISTRATION,TPER,TPEU,HTTPS://REGULATORY.TPICAP.COM/TPICAP/EU/TPEUOTF
642b0b6b87b340e987cae35d,CH,SIX DIGITAL EXCHANGE,XSDX,XSWX,WWW.SIX-GROUP.COM/EN/SITE/EXCHANGES.HTML
642b0b6b87b340e987cae3cf,CH,SIX SWISS EXCHANGE,XSWX,XSWX,WWW.SIX-GROUP.COM/EN/SITE/EXCHANGES.HTML
642b0b6b87b340e987cae41b,CH,SIX SWISS EXCHANGE - DEAL POOL - BOOK BUILDING AND ANNOUNCEMENT PLATFORM,XDLP,XSWX,WWW.SIX-GROUP.COM/EN/SITE/EXCHANGES.HTML
642b0b6b87b340e987cae466,CH,SIX SWISS EXCHANGE - SIX SWISS EXCHANGE AT MIDPOINT,XSWM,XSWX,WWW.SIX-GROUP.COM/EN/SITE/EXCHANGES.HTML
642b0b6b87b340e987cae555,CH,SIX SWISS EXCHANGE - SLS,XSLS,XSWX,WWW.SIX-GROUP.COM/EN/SITE/EXCHANGES.HTML
642b0b6b87b340e987cae595,CH,SIX SWISS EXCHANGE - EBBO BOOK,XSEB,XSWX,WWW.SIX-GROUP.COM/EN/SITE/EXCHANGES.HTML
642b0b6b87b340e987cae5f0,CH,SIX SWISS BILATERAL TRADING PLATFORM FOR STRUCTURED OTC PRODUCTS,XBTR,XSWX,WWW.SIX-GROUP.COM/EN/SITE/EXCHANGES.HTML
642b0b6b87b340e987cae63c,CH,SIX SWISS EXCHANGE - BLUE CHIPS SEGMENT,XVTX,XSWX,WWW.SIX-GROUP.COM/EN/SITE/EXCHANGES.HTML
642b0b6c87b340e987cae690,CH,SIX SWISS EXCHANGE - ETF QOD,XQOD,XSWX,WWW.SIX-GROUP.COM/EN/SITE/EXCHANGES.HTML
642b0b6c87b340e987cae6ce,CH,SIX SWISS EXCHANGE - STRUCTURED PRODUCTS,XQMH,XSWX,WWW.SIX-STRUCTURED-PRODUCTS.COM
642b0b6c87b340e987cae711,JP,BNP PARIBAS ALTERNATIVE TRADING SYSTEM,BNPX,BNPX,WWW.BNPPARIBAS.JP/EN/
642b0b6c87b340e987cae750,RO,BANCA TRANSILVANIA S.A.,BTRL,BTRL,WWW.BANCATRANSILVANIA.RO
642b0b6c87b340e987cae79a,GB,NATIXIS LONDON BRANCH,NTUK,NTUK,WWW.NATIXIS.COM
642b0b6c87b340e987cae7d0,SG,EQUOS,EQOS,EQOS,HTTPS://EQUOS.IO/
642b0b6c87b340e987cae819,EE,LUMINOR BANK AS,LMNR,LMNR,WWW.LUMINOR.EE
642b0b6c87b340e987cae85c,NL,CBOE EUROPE DERIVATIVES,CEDX,CCRM,HTTPS://MARKETS.CBOE.COM/EUROPE/DERIVATIVES/
642b0b6c87b340e987cae8a2,CA,EQUILEND CANADA CORP.,EQCA,EQCA,WWW.EQUILEND.COM
642b0b6c87b340e987cae95b,US,EQUILEND LLC,EQUS,EQUS,WWW.EQUILEND.COM
642b0b6c87b340e987cae994,GB,EVOLUTION MARKETS,EVOL,EVOL,WWW.EVOMARKETS.COM
642b0b6c87b340e987cae9f7,NO,NASDAQ COMMODITIES - STEEL COMMODITY,STEE,NORX,WWW.NASDAQOMX.COM/COMMODITIES/
642b0b6c87b340e987caea4e,NO,NASDAQ COMMODITIES - BULK COMMODITY,BULK,NORX,WWW.NASDAQOMX.COM/COMMODITIES/
642b0b6d87b340e987caeabc,FR,RBC - PARIS BRANCH - SYSTEMATIC INTERNALISER,RBCC,RBCC,WWW.RBC.COM
642b0b6d87b340e987caeb02,BG,BULGARIAN ENERGY TRADING PLATFORM,BEBG,BEBG,WWW.BETP.BG
642b0b6d87b340e987caeb56,DE,COMMERZBANK INTEREST RATE SWAPS - SYSTEMATIC INTERNALISER,CBKS,CBKA,WWW.COMMERZBANK.COM
642b0b6d87b340e987caeba6,US,XTX DIRECT,XTXD,XTXD,WWW.XTXMARKETS.COM
642b0b6d87b340e987caebf3,DE,SSW MARKET MAKING - SYSTEMATIC INTERNALISER,SSWM,SSWM,WWW.SSW-MARKETMAKING.COM
642b0b6d87b340e987caec48,NO,EURONEXT EXPAND OSLO,XOAS,XOSL,WWW.OSLOBORS.NO
642b0b6d87b340e987caec99,NO,OSLO BORS,XOSL,XOSL,WWW.OSLOBORS.NO
642b0b6d87b340e987caece2,US,"SG AMERICAS SECURITIES, LLC - SECOND VENUE",SGA2,SGAS,WWW.SGCIB.COM
642b0b6d87b340e987caedd9,TR,TURKISH MERCANTILE EXCHANGE - ELECTRONIC WAREHOUSE RECEIPT MARKET,EWRM,TMEX,WWW.TURIB.COM.TR
642b0b6d87b340e987caee01,NO,EURONEXT GROWTH - OSLO,MERK,XOSL,WWW.OSLOBORS.NO
642b0b6d87b340e987caee4e,NO,OSLO BORS - DERIVATIVES MARKET,XOBD,XOSL,WWW.OSLOBORS.NO
642b0b6d87b340e987caee9f,ES,"BANCO DE SABADELL, S.A. -  SYSTEMATIC INTERNALISER",BSAB,BSAB,WWW.BANCSABADELL.COM
642b0b6e87b340e987caeedb,GB,BNP PARIBAS SECURITIES SERVICES LONDON BRANCH - SYSTEMATIC INTERNALISER,BSPL,BSPL,WWW.SECURITIES.BNPPARIBAS.COM
642b0b6e87b340e987caef1d,US,BOSTON SECURITY TOKEN EXCHANGE LLC,BSTX,BSTX,WWW.BSTX.COM
642b0b6e87b340e987caef88,LI,NOMISMA (LIECHTENSTEIN) AG,XNOM,XNOM,HTTP://NIEDERMUELLER.LAW
642b0b6e87b340e987caefd8,US,BARCLAYS SINGLE DEALER PLATFORM,BBOK,BARX,WWW.INVESTMENTBANK.BARCLAYS.COM/MARKETS/EQUITIES-LIQUID-MARKETS.HTML
642b0b6e87b340e987caf01c,DE,BAYERNLB - FX DERIVATIVES MARKET,BLFX,BLBB,WWW.BAYERNLB.DE
642b0b6e87b340e987caf04e,DE,OLDENBURGISCHE LANDESBANK AG FX  HANDEL - SYSTEMATIC INTERNALISER,OLBB,OLBB,WWW.OLB.DE
642b0b6e87b340e987caf094,FR,SIGMA X EUROPE NON-DISPLAYED BOOK,SGMU,SGMU,HTTP://GSET.GS.COM/SIGMAXMTF
642b0b6e87b340e987caf0cc,MU,AFRINEX LIMITED,AFEX,AFEX,WWW.AFRINEXEXCHANGE.COM
642b0b6e87b340e987caf19b,GB,BNP PARIBAS SA LONDON BRANCH - SYSTEMATIC INTERNALISER,BNPL,BNPL,WWW.CIB.BNPPARIBAS.COM
642b0b6e87b340e987caf1d6,PL,CREDIT AGRICOLE BANK POLSKA S.A. - SYSTEMATIC INTERNALISER,CAPL,CAPL,WWW.CREDIT-AGRICOLE.PL
642b0b6e87b340e987caf21f,US,CARTAX,CCMX,CCMX,HTTPS://CARTA.COM/X
642b0b6e87b340e987caf278,US,CITI-ONE,ONEC,CGMI,WWW.CITI.COM/MSS/SOLUTIONS/EQUITIES/E-TRADING/LIQUIDITY/
642b0b6f87b340e987caf2cd,GB,MORGAN STANLEY BANK INTERNATIONAL LIMITED - SYSTEMATIC INTERNALISER,MBSI,MSBI,WWW.MORGANSTANLEY.COM
642b0b6f87b340e987caf30d,GB,MORGAN STANLEY BANK INTERNATIONAL LIMITED,MSBI,MSBI,WWW.MORGANSTANLEY.COM
642b0b6f87b340e987caf354,FR,SIGMA X EUROPE AUCTION BOOK,SGMV,SGMU,HTTP://GSET.GS.COM/SIGMAXMTF
642b0b6f87b340e987caf3a8,FR,SIGMA X EUROPE NEGOTIATED TRADE,SGMW,SGMU,HTTP://GSET.GS.COM/SIGMAXMTF
642b0b6f87b340e987caf3fc,BG,TRADING 212 LIMITED - SYSTEMATIC INTERNALISER,T212,T212,WWW.TRADING212.COM
642b0b6f87b340e987caf447,TR,TURKISH MERCANTILE EXCHANGE,TMEX,TMEX,WWW.TURIB.COM.TR
642b0b6f87b340e987caf486,US,CBOE GLOBAL MARKETS INC.,XCBO,XCBO,HTTP://MARKETS.CBOE.COM/
642b0b6f87b340e987caf4d4,US,CBOE OPTIONS EXCHANGE,CONE,XCBO,HTTP://MARKETS.CBOE.COM/
642b0b6f87b340e987caf52f,US,CBOE C2 OPTIONS EXCHANGE,CTWO,XCBO,HTTP://MARKETS.CBOE.COM/
642b0b6f87b340e987caf5c5,US,CBOE C2 OPTIONS EXCHANGE,C2OX,XCBO,HTTP://MARKETS.CBOE.COM/
642b0b6f87b340e987caf612,SE,PEPINS - MTF - QUARTER,PEPQ,PEPW,WWW.PEPINS.COM
642b0b6f87b340e987caf654,SE,PEPINS - MTF - YEAR,PEPY,PEPW,WWW.PEPINS.COM
642b0b6f87b340e987caf698,SE,PEPINS - MTF - HALF-YEAR,PEPH,PEPW,WWW.PEPINS.COM
642b0b7087b340e987caf6f1,SE,PEPINS - MTF - MONTH,PEPM,PEPW,WWW.PEPINS.COM
642b0b7087b340e987caf74c,PG,PNGX MARKETS LIMITED,XPOM,XPOM,WWW.PNGX.COM.PG
642b0b7087b340e987caf799,ES,BME GROWTH MARKET,GROW,BMEX,WWW.BMEGROWTH.ES
642b0b7087b340e987caf7ea,US,CLEAR STREET,CLST,CLST,HTTPS://CLEARSTREET.IO/
642b0b7087b340e987caf855,AT,LIECHTENSTEINISCHE LANDESBANK (OSTERREICH) AG - SYSTEMATIC INTERNALISER,LLAT,LLAT,WWW.LLB.AT
642b0b7087b340e987caf8a3,US,MIAX PEARL EQUITIES EXCHANGE DARK,EPRD,MIHI,WWW.MIAXEQUITIES.COM
642b0b7087b340e987caf8df,HK,GS PRINCIPAL LIQUIDITY ASIA,GSPL,GSAL,WWW.GSET.GS.COM
642b0b7087b340e987caf92b,IT,IMMH - INTESA SANPAOLO - SYSTEMATIC INTERNALISER,IMMH,IMMH,WWW.INTESASANPAOLO.COM
642b0b7087b340e987caf976,GB,AQUIS STOCK EXCHANGE,AQSE,AQSE,WWW.AQUIS.EU
642b0b7087b340e987cafa3e,SG,EURONEXT MARKETS SINGAPORE PTE. LTD.,ENMS,ENMS,WWW.EURONEXTFX.COM/EURONEXT-SINGAPORE
642b0b7087b340e987cafa81,US,EURONEXT FX,FAST,FAST,WWW.EURONEXTFX.COM
642b0b7087b340e987cafacb,FR,LOUIS CAPITAL MARKETS EU,TLCM,ICOT,HTTPS://REGULATORY.TPICAP.COM/
642b0b7087b340e987cafaf9,GB,LOUIS CAPITAL MARKETS UK,ILCM,IOTF,HTTPS://REGULATORY.TPICAP.COM/
642b0b7187b340e987cafb51,GB,LEDGEREDGE,LELE,LELE,WWW.LEDGEREDGE.COM
642b0b7187b340e987cafba0,IN,METROPOLITAN STOCK EXCHANGE OF INDIA LIMITED,MCXX,MCXX,WWW.MSEI.IN
642b0b7187b340e987cafbf3,US,MEMX LLC DARK,MEMD,MEMX,HTTPS://MEMX.COM/
642b0b7187b340e987cafc3e,GB,NEX SEF - RFQ - FX PRODUCTS FOR ASSET MANAGERS,EBSO,NEXS,WWW.NEXSEF.COM
642b0b7187b340e987cafca9,SE,PEPINS - MTF,PEPW,PEPW,WWW.PEPINS.COM
642b0b7187b340e987cafd06,GB,WELLS FARGO BANK NA - LONDON BRANCH - SYSTEMATIC INTERNALISER,WFLB,WFLB,WWW.EMEA.WF.COM
642b0b7187b340e987cafd57,FR,"WELLS FARGO SECURITIES EUROPE, S.A.",WFSE,WFSE,WWW.WELLSFARGO.COM
642b0b7187b340e987cafda7,US,WALL STREET ACCESS NYC - VNDM,VNDM,WSAG,WWW.WSACCESS.COM
642b0b7187b340e987cafe20,US,WALL STREET ACCESS NYC,WABR,WSAG,WWW.WSACCESS.COM
642b0b7187b340e987cafec1,SG,SINGAPORE CATALIST MARKET,XSCA,XSES,WWW.SGX.COM
642b0b7187b340e987caff04,US,ICE TMC,TMCC,IFUS,WWW.THEICE.COM
642b0b7187b340e987caff4b,IE,EURONEXT DUBLIN - TRADED BONDS,EDBT,XDUB,WWW.EURONEXT.COM
642b0b7187b340e987caffa5,IE,GLOBAL EXCHANGE MARKET - TRADED BONDS,EDGL,XDUB,WWW.EURONEXT.COM
642b0b7287b340e987caffe8,IT,EUROTLX,ETLX,XMIL,WWW.EUROTLX.COM
642b0b7287b340e987cb003a,HK,BANK OF AMERICA SECURITIES EQUITY SWAP - SYNTHETIC PRICE SOURCE,BASP,BAIP,WWW.BOFAML.COM
642b0b7287b340e987cb0090,US,BROKERTEC AMERICAS LLC - RFQ PLATFORM,BTEQ,BTEC,WWW.CMEGROUP.COM
642b0b7287b340e987cb00dc,IE,EQUILEND LIMITED - SWAPS,EQSE,EQIE,WWW.EQUILEND.COM
642b0b7287b340e987cb0126,US,ICE BONDPOINT,VABD,IFUS,WWW.THEICE.COM
642b0b7287b340e987cb0170,US,ICE CREDIT TRADE,IMCC,IFUS,WWW.THEICE.COM
642b0b7287b340e987cb01b2,GB,NATIONAL BANK FINANCIAL INC. - SYSTEMATIC INTERNALISER,NBFL,NBFL,HTTPS://NBFM.CA/EN
642b0b7287b340e987cb0201,GB,AQSE TRADING (EQUITY),NEXT,NEXX,WWW.AQUIS.EU
642b0b7287b340e987cb0255,GB,AQSE TRADING (NON-EQUITY),NEXN,NEXX,WWW.AQUIS.EU
642b0b7287b340e987cb033b,GB,AQSE GROWTH MARKET (NON-EQUITY),NEXF,NEXX,WWW.AQUIS.EU
642b0b7287b340e987cb0366,GB,AQUIS STOCK EXCHANGE,NEXX,NEXX,WWW.AQUIS.EU
642b0b7287b340e987cb03a9,GB,AQSE GROWTH MARKET (EQUITY),NEXG,NEXX,WWW.AQUIS.EU
642b0b7287b340e987cb03f5,GB,AQSE MAIN MARKET (EQUITY),NEXL,NEXX,WWW.AQUIS.EU
642b0b7387b340e987cb0443,GB,AQSE MAIN MARKET (NON-EQUITY),NEXD,NEXX,WWW.AQUIS.EU
642b0b7387b340e987cb04a5,SE,NORDIC DERIVATIVES EXCHANGE,XNDX,XNGM,WWW.NDX.SE
642b0b7387b340e987cb04fa,SE,NORDIC MTF REPORTING,XNMR,XNGM,WWW.NORDICMTF.SE
642b0b7387b340e987cb054d,GB,MAX MARKETS LIMITED,MAXD,MAXD,WWW.MAXMARKETS.NET
